Филиал;Серия;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
Северо-Западный;ЭП1ви;130 339 183;130 339 183;130 339 183;130 697 258;130 339 183;130 339 183;130 339 183;130 697 258;130 339 183;130 339 183;130 339 183;130 697 258;130 339 183;129 851 796;129 690 143;129 884 740;129 528 892;129 528 892;129 528 892;129 884 740;129 528 892;129 528 892;129 528 892;129 884 740;129 528 892;129 528 892;129 528 892;129 884 740;129 528 892;129 528 892;129 528 892;129 884 740;129 528 892;129 528 892;129 528 892;129 884 740;129 528 892;129 528 892
Северо-Западный;ЧС200ви;130 739;130 739;130 739;131 099;130 739;130 739;130 739;131 099;130 739;78 444;61 012;8 740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ЧС2ви;36 795;36 795;36 795;36 896;36 795;36 795;36 795;36 896;36 795;36 795;36 795;36 896;36 795;36 795;36 795;36 896;36 795;36 795;36 795;36 896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ЧС6ви;601 401;601 401;601 401;603 054;601 401;601 401;601 401;603 054;601 401;601 401;601 401;603 054;601 401;601 401;601 401;594 314;496 810;400 934;296 343;297 157;296 343;278 911;278 911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ЭП2Кви;200 467;183 035;61 012;34 960;26 148;26 148;26 148;26 220;26 148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Южный;ТЭ10ви;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330;291 330;292 130;291 330;291 330
Южный;ТЭ116ви;15 036 328;15 036 328;15 036 328;15 077 637;15 036 328;15 036 328;15 036 328;15 077 637;15 036 328;15 036 328;15 036 328;15 077 637;15 036 328;15 036 328;15 036 328;15 077 637;13 953 713;13 352 259;12 510 225;2 412 422;1 804 359;1 804 359;1 804 359;1 809 316;1 804 359;1 804 359;1 804 359;1 809 316;0;0;0;0;0;0;0;0;0;0
Южный;ТЭП70ви;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872;360 872;361 863;360 872;360 872
Южный;ЭП1ви;123 248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Южный;ВЛ80ви;780 571;780 571;780 571;782 716;780 571;780 571;780 571;782 716;780 571;780 571;739 489;741 520;534 075;287 579;205 414;205 978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ТЭ116ви;287 579;287 579;287 579;288 369;287 579;287 579;287 579;288 369;287 579;287 579;287 579;288 369;287 579;287 579;287 579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;ВЛ80ви;123 248;123 248;123 248;123 587;123 248;123 248;123 248;123 587;123 248;123 248;123 248;123 587;123 248;123 248;123 248;123 587;123 248;123 248;41 083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;ТЭ10ви;41 083;41 083;41 083;41 196;41 083;41 083;41 083;41 196;41 083;41 083;41 083;41 196;41 083;41 083;41 083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;ТЭ70ви;369 744;369 744;369 744;370 760;369 744;369 744;369 744;370 760;369 744;369 744;369 744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;ТЭП70ви;184 872;184 872;184 872;185 380;184 872;184 872;184 872;185 380;184 872;184 872;184 872;185 380;184 872;184 872;184 872;185 380;184 872;184 872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;ЧС4ви;52 098 227;52 098 227;52 098 227;52 241 354;52 098 227;52 098 227;52 098 227;52 241 354;52 098 227;52 098 227;52 098 227;52 241 354;52 098 227;52 098 227;52 098 227;52 241 354;52 098 227;52 098 227;52 098 227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ТЭ116ви;2 412 808;2 412 808;2 412 808;2 419 437;2 412 808;2 412 808;2 412 808;2 419 437;2 412 808;2 412 808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ВЛ80ви;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ЧС8ви;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821;8 249 821;8 272 485;8 249 821;8 249 821
Северо-Кавказский;ТЭ10ви;169 586 310;169 586 310;169 586 310;170 052 206;169 586 310;169 586 310;169 586 310;170 052 206;169 586 310;169 586 310;172 001 382;172 473 913;172 001 382;172 001 382;172 001 382;172 473 913;172 001 382;172 001 382;172 001 382;224 125 918;223 511 874;223 511 874;223 511 874;224 125 918;223 511 874;223 511 874;223 511 874;224 125 918;223 511 874;223 511 874;223 511 874;224 125 918;223 511 874;223 511 874;223 511 874;224 125 918;223 511 874;223 511 874
Северо-Кавказский;ТЭП70ви;8 442 073;8 442 073;8 442 073;8 465 266;8 442 073;8 442 073;8 442 073;8 465 266;8 442 073;8 442 073;8 442 073;8 465 266;8 442 073;8 442 073;8 043 235;7 865 365;2 791 867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ЭС4Кви;1 783 574;1 783 574;1 783 574;1 788 473;1 783 574;1 783 574;1 783 574;1 788 473;1 783 574;1 783 574;1 783 574;1 788 473;1 783 574;1 783 574;1 783 574;1 788 473;1 783 574;1 783 574;1 783 574;1 788 473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ВЛ10ви;60 422 246;60 422 246;60 422 246;60 588 241;60 422 246;60 422 246;60 422 246;60 588 241;60 422 246;60 422 246;60 422 246;60 588 241;60 422 246;60 422 246;60 422 246;60 588 241;60 422 246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ВЛ60ви;2 862 712;2 862 712;2 862 712;2 870 577;2 862 712;2 862 712;2 862 712;2 870 577;2 862 712;2 862 712;2 862 712;2 870 577;2 862 712;2 862 712;2 862 712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Кавказский;ЭП1ви;396 211;396 211;396 211;397 300;396 211;396 211;396 211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Южный;ЧС4ви;7 131 806;7 131 806;7 131 806;7 151 399;7 131 806;7 131 806;7 131 806;7 151 399;7 131 806;7 131 806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западный;3ЭС5Кви;1 967 784;1 967 784;1 967 784;1 973 190;1 967 784;1 967 784;1 967 784;1 973 190;1 967 784;1 967 784;1 967 784;1 973 190;1 967 784;1 967 784;1 967 784;1 973 190;1 967 784;1 967 784;1 967 784;1 534 703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;3ЭС5Кви;1 192 464;1 192 464;1 192 464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЭП2Кви;40 098 240;40 098 240;40 098 240;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704;41 290 704;41 404 140;41 290 704;41 290 704
Московский;ЭП1ви;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200;2 566 200;2 573 250;2 566 200;2 566 200
Северо-Западный;3ЭС5Кви;635 981;635 981;635 981;637 728;635 981;635 981;635 981;637 728;635 981;635 981;635 981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Южный;3ЭС5Кви;732 802;732 802;732 802;734 816;732 802;732 802;732 802;734 816;732 802;732 802;732 802;734 816;732 802;732 802;732 802;734 816;732 802;732 802;732 802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северный;3ЭС5Кви;19 874;19 874;19 874;19 929;19 874;19 874;19 874;19 929;19 874;19 874;19 874;19 929;19 874;19 874;19 874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
